,naam,type database,format database,type sas,format sas,code,omschrijving,bron
tijdvak/mutatie,jaar,int(8),YYYYMMDD,int(8),8.,G662,jaar van verwerking,afgeleid
,geldig_op,int(8),YYYYMMDD,char(8),$8.,G302,mutatiedatum,csv
,tydber,int(8),YYYYMMDD,char(8),$8.,G612,tijdstip van verwerking mutatie,csv
persoonsgegevens,anummr,bigint(10),,char(10),$10.,G374,administratienummer,database
,bsnumm,bigint(9),,char(9),$9.,G610,burgerservicenummer,database
,unicod,bigint(14),,char(14),$14.,G471,unieke code persoon,kwartaal
,gbdtb8,int(8),YYYYMMDD,char(8),$8.,G388,geboortedatum,database
,gslcha,char(1),M of V,char(1),$1.,G373,geslacht,csv
,lndgbb,int(3),,char(4),$4.,G489,code geboorteland,csv
,gebpla,varchar(50),,char(50),$50.,G661,geboorteplaats,csv
,bevcbs,int(1),"1-4, 6-8",char(1),$1.,G571,herkomstgroepering CBS,csv
,etncbs,int(4),,char(4),$4.,G572,modelclassificatie herkomstgroepering CBS,csv
,natiob,int(3),,char(3),$3.,G381,code van de nationaliteit,kwartaal
,vstdgr,int(8),YYYYMMDD,char(8),$8.,G117,vestigingsdatum in de gemeente,kwartaal
,vstdta,int(8),YYYYMMDD,char(8),$8.,G015,vestigingsdatum op het adres,kwartaal
,vstned,int(8),YYYYMMDD,char(8),$8.,G249,vestigingsdatum in nederland,kwartaal
,brgstb,int(1),,char(1),$1.,G380,burgerlijke staat,kwartaal
,codvbt,int(2),,char(2),$2.,G626,code van verblijfstitel,kwartaal
,dathon,int(8),YYYYMMDD,char(8),$8.,G347,datum huwelijksbeÃ«indiging,kwartaal
,dathuw,int(8),YYYYMMDD,char(8),$8.,G346,datum huwelijkssluiting,kwartaal
,dtbvbt,int(8),YYYYMMDD,char(8),$8.,G659,datum begin verblijfstitel,kwartaal
,dtevbt,int(8),YYYYMMDD,char(8),$8.,G660,datum einde verblijfstitel,kwartaal
,leeftd,int(3),,int(3),3.,G392,leeftijd,database
,leeft1,int(3),,int(3),3.,G370,leeftijd op 1 januari van het mutatiejaar,database
,hhtypev,int(2),,char(2),$2.,,huishoudentype op het adres voor de mutatie,kwartaal
,hfdkod,,,char(20),$20.,G307,hoofdcode mutatiestatistiek,
relatiegegevens,uniou1,bigint(14),,char(14),$14.,G468,unieke code ouder1,kwartaal
,uniou2,bigint(14),,char(14),$14.,G469,unieke code ouder2,kwartaal
,gslou1,char(1),M of V,char(1),$1.,G425,geslacht van ouder1,kwartaal
,gslou2,char(1),M of V,char(1),$1.,G426,geslacht van ouder2,kwartaal
,gblou1,int(4),,char(4),$4.,,geboortelandcode ouder1,kwartaal
,gblou2,int(4),,char(4),$4.,,geboortelandcode ouder2,kwartaal
,gbdou1,int(8),YYYYMMDD,char(8),$8.,,geboortedatum van ouder1,kwartaal
,gbdou2,int(8),YYYYMMDD,char(8),$8.,,geboortedatum van ouder2,kwartaal
adresgegevens voor,stkodv,int(5),,char(5),$5.,G328,straatcode voor de mutatie,database of BAG
,huisnv,int(5),,char(5),$5.,G330,huisnummer voor de mutatie,database
,huislv,char(1),,char(5),$5.,G340,huisletter voor de mutatie,database
,hstoev,varchar(4),,char(4),$4.,G33x,huisnummertoevoeging voor de mutatie,database
,ptkodv,char(6),,char(6),$6.,G538,postcode voor de mutatie,database
,adrs15v,char(15),,char(15),$15.,G603,15 positie adrescode voor mutatie,afgeleid
,bagidsv,bigint(15),36301xxxxxxxxxx,char(16),$16.,,landelijke bagidentificatie van het adresseerbaar object voor de mutatie,BAG
,numidsv,bigint(15),36301xxxxxxxxxx,char(16),$16.,,landelijke bagnummeridentificatie voor de mutatie,BAG
,brtk15v,char(4),,char(4),$4.,G510,buurtindeling 2015 voor de mutatie,BAG
,bctk15v,char(3),,char(3),$3.,G511,buurtcombinatieindeling 2015 voor de mutatie,kwartaal
,stad15v,char(1),,char(1),$1.,G512,stadsdeelindeling 2015 voor de mutatie,kwartaal
,i22gebv,char(4),,char(4),$4.,G513,gebiedsgericht werken indeling in 22 gebieden voor de mutatie,kwartaal
,i27gebv,char(4),,char(4),$4.,G514,gebiedsgericht werken indeling in 27 gebieden voor de mutatie,kwartaal
,altbrt15v,char(4),,char(4),$4.,G515,alternatieve buurtindeling stadsdelen 2015 voor de mutatie,kwartaal
,rayon15v,char(4),,char(4),$4.,G516,rayon indeling stadsdelen 2015 voor de mutatie,kwartaal
,brtk10v,char(4),,char(4),$4.,G586,buurtindeling 2010 voor de mutatie,kwartaal
adresgegevens na,nwegem,int(4),,char(4),$4.,G304,code van de volgende gemeente van inschrijving,csv
,ptkodn,char(6),,char(6),$6.,G538,postcode na de mutatie,database
,stkodn,int(5),,char(5),$5.,G328,straatcode na de mutatie,database of BAG
,huisnn,int(5),,char(5),$5.,G330,huisnummer na de mutatie,database
,huisln,char(1),,char(1),$1.,G340,huisletter na de mutatie,database
,hstoen,varchar(4),,char(4),$4.,G33x,huisnummertoevoeging na de mutatie,database
,bagidsn,bigint(15),36301xxxxxxxxxx,char(16),$16.,,landelijke bagidentificatie van het adresseerbaar object na de mutatie,BAG
,numidsn,bigint(15),36301xxxxxxxxxx,char(16),$16.,,landelijke bagnummeridentificatie na de mutatie,BAG
